J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID, TIME_S, X_TCP, Y_TCP, Z_TCP, SPEED_J1, SPEED_J2, SPEED_J3, SPEED_J4, SPEED_J5, SPEED_J6, ACCEL_J1, ACCEL_J2, ACCEL_J3, ACCEL_J4, ACCEL_J5, ACCEL_J6
-89.9999968, -84.6988794, -92.8744028, -92.4267178, 90.0000000, 0.0000032, 0.0000000, 2.9067082, 0.2500000, 29.0000000, 0.1000000, -163.8999649, -630.1800043, 670.0818474, 0.0000017, 2.5000000, -1.2172230, -1.2827770, 0.0000000, 0.0000017, 0.0000159, 23.8781618, -11.6172772, -12.2608846, 0.0000000, 0.0000159
-89.9999965, -84.2375633, -93.0990126, -92.6634241, 90.0000000, 0.0000035, 0.0000000, 5.3570769, 0.7113161, 29.0000000, 0.1000000, -163.8999618, -625.1649866, 671.9654267, 0.0000031, 4.6131613, -2.2460984, -2.3670630, 0.0000000, 0.0000031, 0.0000141, 21.1316134, -10.2887540, -10.8428594, 0.0000000, 0.0000141
-89.9999965, -84.1798899, -93.1270932, -92.6930169, 90.0000000, 0.0000035, 0.0000000, 0.6691402, 0.7689895, 29.0000000, 0.0480306, -163.8999614, -624.5376016, 672.1980995, 0.0000008, 1.2007641, -0.5846391, -0.6161251, 0.0000000, 0.0000008, -0.0000473, -71.0463691, 34.5917088, 36.4546603, 0.0000000, -0.0000473
-89.9999965, -84.1788430, -93.1275947, -92.6935622, 90.0000000, 0.0000035, 0.0000000, 0.0121768, 0.0010469, 29.0000000, 0.0091515, -163.8999614, -624.5262089, 672.2023984, 0.0000001, 0.1143933, -0.0548055, -0.0595878, 0.0000000, 0.0000001, -0.0000788, -118.7100783, 57.8960557, 60.8140226, 0.0000000, -0.0000788
-89.9999963, -83.9288430, -93.2454170, -92.8257399, 90.0000000, 0.0000037, 0.0000000, 2.9144478, 0.2500000, 30.0000000, 0.1000000, -163.8999597, -621.8036993, 673.2425653, 0.0000017, 2.5000000, -1.1782228, -1.3217772, 0.0000000, 0.0000017, 0.0000164, 23.8560672, -11.2341735, -12.6218937, 0.0000000, 0.0000164
-89.9999960, -83.4688121, -93.4622246, -93.0689633, 90.0000000, 0.0000040, 0.0000000, 5.3564434, 0.7100310, 30.0000000, 0.1000000, -163.8999567, -616.7892656, 675.1258979, 0.0000032, 4.6003099, -2.1680761, -2.4322339, 0.0000000, 0.0000032, 0.0000144, 21.0030994, -9.8985324, -11.1045669, 0.0000000, 0.0000144
-89.9999959, -83.4119473, -93.4890244, -93.0990284, 90.0000000, 0.0000041, 0.0000000, 0.6615308, 0.7668958, 30.0000000, 0.0476927, -163.8999563, -616.1690189, 675.3559348, 0.0000008, 1.1923169, -0.5619260, -0.6303909, 0.0000000, 0.0000008, -0.0000489, -71.4573637, 33.6770788, 37.7802849, 0.0000000, -0.0000489
-89.9999959, -83.4108573, -93.4895296, -93.0996131, 90.0000000, 0.0000041, 0.0000000, 0.0127125, 0.0010899, 30.0000000, 0.0093379, -163.8999563, -616.1571250, 675.3604228, 0.0000001, 0.1167233, -0.0540990, -0.0626242, 0.0000000, 0.0000001, -0.0000788, -115.1863078, 54.3836532, 60.8026546, 0.0000000, -0.0000788
-89.9999958, -83.1608573, -93.6034434, -93.2356993, 90.0000000, 0.0000042, 0.0000000, 2.9225404, 0.2500000, 31.0000000, 0.1000000, -163.8999546, -613.4270341, 676.4034216, 0.0000018, 2.5000000, -1.1391380, -1.3608620, 0.0000000, 0.0000018, 0.0000168, 23.8327674, -10.8503896, -12.9823778, 0.0000000, 0.0000168
-89.9999954, -82.7021693, -93.8124470, -93.4853838, 90.0000000, 0.0000046, 0.0000000, 5.3557170, 0.7086881, 31.0000000, 0.1000000, -163.8999515, -608.4132707, 678.2864724, 0.0000032, 4.5868806, -2.0900360, -2.4968446, 0.0000000, 0.0000032, 0.0000147, 20.8688064, -9.5089802, -11.3598262, 0.0000000, 0.0000147
-89.9999954, -82.6461414, -93.8379763, -93.5158822, 90.0000000, 0.0000046, 0.0000000, 0.6536222, 0.7647159, 31.0000000, 0.0473404, -163.8999512, -607.8004425, 678.5137688, 0.0000008, 1.1835099, -0.5392724, -0.6442375, 0.0000000, 0.0000008, -0.0000507, -71.8914730, 32.7577235, 39.1337494, 0.0000000, -0.0000507
-89.9999954, -82.6450054, -93.8384851, -93.5165095, 90.0000000, 0.0000046, 0.0000000, 0.0132873, 0.0011360, 31.0000000, 0.0095331, -163.8999511, -607.7880108, 678.5184598, 0.0000001, 0.1191634, -0.0533648, -0.0657986, 0.0000000, 0.0000001, -0.0000787, -111.6477839, 50.9707191, 60.6770648, 0.0000000, -0.0000787
-89.9999952, -82.3950054, -93.9484806, -93.6565139, 90.0000000, 0.0000048, 0.0000000, 2.9310148, 0.2500000, 32.0000000, 0.1000000, -163.8999494, -605.0499820, 679.5644265, 0.0000018, 2.5000000, -1.0999556, -1.4000444, 0.0000000, 0.0000018, 0.0000173, 23.8083659, -10.4659072, -13.3424586, 0.0000000, 0.0000173
